referencia;designacao;localizacao
469048;VARAO PARA PORTADAS 2400 PRETO;ES8P2
469049;PLACA DE FECHO C/ DISTANCIADOR PRETO;
469052;DOBRADIÇA ARO PARA PORTADA 200 F/M 109MM PRETO;CX7
469054;DOBRADIÇA ARO PARA PORTADA 200 F/M 145MM PRETO;
469057;DESLIZADOR PORTADAS COMPRIDO PRETO;
469059;VARAO PARA PORTADAS 1800 PRETO;
469068;DOBRADIÇA ARO PARA PORTADA (126-155/91-105) PRETA ESQ;
469069;DOBRADIÇA ARO PARA PORTADA (126-155/91-105) PRETA DTª;
469076;ELEMENTO FECHO PORTADA M PRETO;
469083;FIXADOR PORTADA 40-60 PRETO;
469084;FIXADOR PORTADA 80-120 PRETO;
469085;FIXADOR PORTADA C/FIGURA FIGURA 50-90 PRETO;
469086;FIXADOR PORTADA C/FIGURA FIGURA 80-120 PRETO;
469087;DOBRADIÇA PROJECTANTE PORTADA PRETO (15MM);
469088;DOBRADIÇA PROJECTANTE PORTADA PRETO (12MM);
469090;ESQUADRO P/PORTADAS 220X170(PAR) PRETO;
469097;PLACA DE FECHO P/ESPANHOLETA 4MM - PRETA;CX7
469103;FECHO CENTRAL DE PORTADA PRETO;CS8P3
469104;ROLO   50MTS P/PERFIL METEOR. PRATA;
469173;CILINDRO ROTO NIQ. S6 31X60;
469375;CAPA DOB. ABN S/REG. PRATA;
469675;CAPA COMPASSO BRANCO;
469750;CAPA FALSO COMPASSO CASTANHA;
469831;BITOLA  PATIO 6080;
470047;TIRADOR DUO PLATA;
470048;TIRADOR DUO BRONCE;
470386;PLANTILLA TIRADOR DUO;
471147;FECHADURA H600 40/92/8 2200 MM;
471148;PASSADOR P/CREMONA 2ª FOLHA PORTA ENTRADA;DS8P3
471149;CALHA P/PASSADOR 2ª FOLHA DE PORTA ENTRADA;DS8P3
472708;PEÇA RADIO P/DISPOS.INTERL.CABO 4 MM;CACIFOP5
473381;GUIA DE COMPASSO 250 2ª FOLHA 511-1400 DESIGNO NT;
474143;ELEM.FECHO CORRER 2 UNDS 960MM/13;ES10P8
475574;COMPASSO TF 350  DESIGNO NT DTº.;
475646;ELEM.FECHO LATERAL PROFIALIS;A2 CX14
475647;ELEMENTO FECHO BASC. PROFIALIS PERFORMANCE;A2 CX13
475648;CALHA FECHO PASSADOR PROFIALIS;DS8P3
476518;CREMONA 2ª FOLHA P/PORTA ENTRADA 1735-2135 MM;BS11P2
476548;FECHADURA H100 25/70/X16- 1125MM;
476549;FECHADURA H100 28/70/X16- 1125MM;ESCRITORIO A2
476814;DOB.INF.ARO DTº 12/18/9 DESIGN NT;
477025;DOB.INF.ARO ESQ 12/18/9 DESIGN NT;
477107;FECHADURA AUTOMATICA C600 40/92/16  1500-1900MM;
477108;FECHADURA AUTOM. 45/92 CA 60A 1900MM PRATA;
477113;FECHADURA AUTOM. 40/92 CA 60A 2400MM PRATA;
477117;FECHADURA AUTOM. 45/92 CA 60A 2400MM PRATA;ES6P6
477118;FECHADURA AUTOM. 55/92 CA 60A 2400MM PRATA;
477211;DOBRADIÇA FOLHA  DTª 130 KG DESIGN NT;
477212;DOBRADIÇA FOLHA ESQ 130 KG DESIGN NT;
477213;DOBRADIÇA QRO DTº 12/18/13 DESIGNO NT;
477214;DOBRADIÇA ARO ESQ. 12/18/13 DESIGNO NT;
477223;CAPA DOB. ABN S/REG. DOURADA;
477229;DOB.INF.ARO DTº DESIGNO NT - REHAU;
477230;DOB.INF.ARO ESQª DESIGNO NT - REHAU;
477231;DOBRADIÇA INF ARO DESIGNO NT DTº;
477232;DOBRADIÇA INF ARO DESIGNO NT ESQ;
477233;DOBRADIÇA INF ARO DESIGNO NT GEALAN DTº;
477234;DOBRADIÇA INF ARO DESIGNO NT GEALAN ESQ;
477237;DOB.INF.ARO DTº DESIGNO NT - KBE;
477248;PROLONGADOR DE FECHADURA 400/2X16/SL;
477254;COMPASSO PROJECTANTE 10/262 STORM-B V 16;
477255;BASE PARA FALSO COMPASSO DESIGNO NX;DS9P5
477263;SUPLEMENTO BATENTE P/FOLHA ELEV. PRETO 9005;
477264;ELEM. FECHO ARO PLF REHAU;
477265;COMPASSO PROJECTANTE .16/415 STORM-B V 16;
477266;COMPASSO PROJECTANTE 22/567 STORM-B V 16;
477267;COMPASSO PROJECTANTE  RS26 STORMB T/H 304/16 OO;
477268;COMPASSO PROJECTANTE 10/262 STERLING-E V 16;
477269;COMPASSO PROJECTANTE 12/313 STERLING-E V 16;
477270;COMPASSO PROJECTANTE 16/415 STERLING-E V 16;
477271;COMPASSO PROJECTANTE STERLING 1270;DS1P6
477272;COMPASSO PROJECTANTE 26/680 STERLING-E V 16 - 180 KG;F1P2
477273;COMPASSO PROJECTANTE 16/415 STERLING-E H 16;
477274;COMPASSO PROJECTANTE 12/313 STORM-B V 16;
477275;COMPASSO PROJECTANTE 10/262 STERLING-E H 16;
477286;FECHADURA 1 PONTO 240 MM 40/92 PRATA;CS11P4
477292;TRANSMISSÃO ANGULO 2 FOLHAS;ES10P8
477303;DOBRADIÇA FOLHA/FOLHA CENTRAL 50/60/14 PRETA;CS15P4
477309;DOBRADIÇA FOLHA/FOLHA CENTRAL 50/60/14 BRANCA;
477310;DOBRADIÇA CENTRAL C/ESQUADRO 50/60/14 BRANCA;
477312;DOBRADIÇA FOLHA/FOLHA CENTRAL+ESQUA.50/60/14 PRETA;
477313;DOBRADIÇA FOLHA/FOLHA P/PORTADA 60/60/14 PRETA;CX3
477314;DOBRADIÇA FOLHA/FOLHA P/PORTADA 60/60/14 BRANCA;CS16P4
477317;DOBRADIÇA ARO PARA PORTADA 200 F/M PRETO;
477352;ELEMENTO FECHO LATERAL SEGURANÇA PROFIALIS PERFORMANCE;
477395;GANCHO DUO SIL H007;
477455;KIT DE MONTAGEM E-TEC DRIVE ALU 540/540I;DS5P4
477497;CIERRE EMBUTIDO DUO DORADO;
477498;CIERRE EMBUTIDO DUO INOX;
477500;CIERRE EMBUTIDO DUO C/LLAVE INOX;
477502;TIRADOR DUO INOX;
477504;UÑERO DUO INOX;
477510;PEÇA ADICIONAL ROTO NT DESIGNO 130KG - MADEIRA;
477532;ELEMENTO FECHO LATERAL SEGURANÇA PROFIALIS PERFORMANCE;A2 CX13
477848;BASE PARA LIMITADOR DE ABERTURA NT;C9P3
477849;BASE PARA LIMITADOR DE APERTURA NT;
477917;ELEM. FECHO PASADOR 13MM.;
478262;COMPASSO PROJECTANTE 22/567 STERLING-E V 16;
478288;CHAPA TESTAS AUTOMATICO  ALU 24-U;
478308;ELEMENTO FECHO CENTRAL H100 DECEUNINCK;ESCRITORIO A2
478334;CHAPA TESTAS COM IMAN ENEO ALU;CS4P3
478410;CONJ. 6 CALÇOS S001 ALT.9MM;CX20
478411;CONJ. 6 CALÇOS S002 ALT.11MM;CX21
478412;CONJ. 6 CALÇOS S003 ALT.13.7MM;CX21
478413;CONJ.2 ELEM.FECHO CORRER MULTIPONTO - ALU;F6P3
478482;FECHADURA AUTOMATICA C600 35/92 2200MM/24U7;ES10P3
479681;TRANSF./INTERRUPTOR E-TEC DRIVE;
482257;PASSADOR DE BATENTE P/PORTA 150;C11P2
482260;ELEMENTO FECHO ARO 12,5 MM PATIO INOWA;
482262;ELEMENTO DE FECHO PARA PROJETANTE 14 MM;
482263;CONEXAO DE CREMONE PROJETANTE 6 MM;
482305;CONEXÃO CREMONE  (25MM);FS2P5
482306;CONEXÃO CREMONE (32MM);
482307;CONEXÃO CREMONE (37MM);FS2P5
482309;GARFO P/MANETE ALU  32/9.5;
482310;GARFO P/MANETE ALU 37/9.5;
482312;GARFO P/MANETE ALU 46/9.5;
482316;GARFO P/MANETE ALU 53/3.5;
482385;ELEMENTO FECHO CENTRAL H100  KOMMERLING;A2 CX15
482418;CLIC MAGNÉTICO CREMONA 2ª FOLHA 13MM NT;CS3P5
482536;FECHADURA 1 PONTO 240 MM 35/92/2.5X16 VAI-VEM;A2 CX13
482537;FECHADURA 1 PONTO 240 MM 45/92/2.5X16 VAI-VEM;
482543;MANETE ROTOLINE DOURADA C/QUAD. 30MM + PARAFUSOS;
482544;MANETE ROTOLINE 35MM DOURADA;DS5P3
482571;GUIA DE COMPASSO 250 2ª FOLHA 450-500 DESIGNO NT;
482754;ELEM. FECHO INTERMEDIO OCULTO NR224 SL NT;
482823;COMPASSO BASCULANTE NT P/CREMONA;CS10P2
483117;MECANISMO FALSA MANOBRA BRUGMAN;
483147;MEC.FALSA MANOBRA ARO PROFIALIS REPONSE NT;
483188;CONJº DOB. OB ALU 540/90 BRUTO;A2 CX14
483460;CONJº MAN.PLACA LARGA 24 MM. CAST. 8/92;
483461;CONJº MAN.PLACA LARGA 24 MM. TITAN 8/92;
483605;ELEMENTO FECHO ARO;F6P3
483671;ROSETA TITAN  P/CILINDRO;CS14P5
483672;ROSETA DOURADA  P/CILINDRO;
483673;ROSETA PRATA  P/CILINDRO;CS14P5
483972;CHAPA TESTAS P/FECHADURA AUTOMATICA CORTIZO;DS2P3
484050;FECHADURA HV D500 25/92/8 2200 MM PRATA;
484250;CILINDRO S6 NIQUELADO 50X60 (110MM);
484582;FECHO PORTADAS INCLINADO 20º PRETO;
484686;TRANSMISSAO DE ANGULO PEQUENA FOLHA PASSIVA NT;A3.OB1
485051;CREMONA COR. 7/16X200 1 BUL. ROTOSIL;
485052;CREMONA COR. 17/16X150 1 BUL. ROTOSIL;AS1P1
485066;MANETE/MANETE P/JANELAS CORRER C/ENT.CILINDRO PRETO;
485301;ELEM.FECHO CORRER 1 UND 685MM/15;ES10P8
485436;PASADOR NR203 NT;
485439;COMPASSO LIMITADOR DE ABERTURA RD TS 08;
485441;LIMITADOR PROJETANTE ESQº;
485442;LIMITADOR PROJETANTE DTº;
485444;PEÇA BLOQUEIO 1MM PROJETANTE;
485591;LIMITADOR ABERTURA FOLHA DESIGNO NT ALU16 LARG.>800;DS8P4
485601;COMPASSO PROJECTANTE 16/415 STERLING-E V 16;
485707;ELEM. FECHO EMBUTIR -B- DUO BRANCO;
485708;ELEM. FECHO EMBUTIR -B- DUO PRETO;
485764;MANETE PLANA 7/35 MM. CAST. PATIO 6080;
485765;MANETE ROTOLINE REBAIXADA 35MM DOURADA;
485766;MANETE ROTOLINE REBAIXADA 35MM TITAN;CS14P4
485770;COMPASSO PROJETANTE 10/262 STORM V/H 16;
485771;COMPASSO PROJETANTE 10/415 STORM V/H 16;CXA1
485997;DOBRADIÇA 2D 85MM.REGUL.P.RECTO RAL 9001;
486009;ELEM. FECHO INTERM OCULTO ARO NT N.343;CX7
486161;CREMONE T300 1G  PRATA;OB PAL 4
486162;CREMONE T300 1G  PRETA;F3P5
486163;CREMONE T300 1G  BRANCA;A2 CX16
486165;CREMONE T300 1G  BRUTO;S/ STOCK
486195;ELEM.FECHO LATERAL NT SALAMANDER;A2 CX15
486272;JOGO CONEXAO CREMONE DUPLA ACÇAO;S/ STOCK
486274;CONJ.DOBRADIÇAS 2ªFOLHA DOURADAS;
486276;CONJ.DOB. OB 10MM OURO;OB PAL 4
486277;CREMONE T300 2 GARFOS PRATA;PAL 1
486367;DOBRADIÇA INTERMEDIA OCULTA PROJETANTE;
486371;MANETE C/PLACA + CIL.+ CONCHA BRANCA - JAN.CORRER;OB PAL 4
486372;MANETE C/PLACA + CIL.+ CONCHA DOURADO - JAN.CORRER;
486374;MANETE P/JANELAS CORRER SET B - PRETA;CX 7
486445;MANETE P/JANELAS CORRER SET C - BRANCO;
486448;MANETE P/JANELAS CORRER SET C - PRETA;
486449;MANETE C/PLACA + CONCHA BRANCA - JAN.CORRER;
486452;MANETE P/JANELAS CORRER SET A - PRETA;CX4
486454;CONJº ACESS. DK-BDS ALU T300;PAL 1
486456;CONJ.DOB. OB 10MM RAL ESPECIAL;
486457;COMPASSO 700 MM ALU T300-6;A2.C.3.4
486458;COMPASSO 390 MM ALU T300-6;A2.C.3.4
486463;DOBRADIÇA FOLHA R01.5 ALU T300;
486467;DOBRADIÇA ARO R01.5 ALU T300;
486471;DOBRADIÇA DE COMPASSO R01.5 ALU T300 SUP.;
486475;DOBRADIÇA DE COMPASSO R01.5 ALU T300 INF.;
486480;CONJ.DOBRADIÇAS 2ªFOLHA PRATA;F2P3
486481;CONJ.DOBRADIÇAS 2ªFOLHA PRETAS;F2P3
486482;CONJ.DOBRADIÇAS 2ªFOLHA BRANCAS;F2P2
486483;CONJ.DOBRADIÇAS 2ªFOLHA BRUTO;A2 CX16
486484;CONJ.DOBRADIÇAS 2ªFOLHA RAL ESPECIAL;
486485;ESQUADRO DE FIXAÇAO ALU T300;
486486;ESPAÇADOR ALU T300;
486487;PARAFUSO BRONZEADO M5X12 ALU T300;
486488;DOBRADIÇA DO ARO ALU T300;
486489;FIEL DA DOB. INF. ARO ALU T300;
486491;FIEL DA DOB. SUP. FOLHA ALU T300;
486493;CONJº ACESS. OB ALU T300-6/80 9.5MM;S/ STOCK
486497;CONJ.DOB. OB 10MM PRATA;F1P2
486498;CONJ.DOB. OB 10MM PRETO;F1P2
486499;CONJ.DOB. OB 10MM BRANCO;F2P2
486500;CONJ.DOB. OB 10MM BRUTO;FS5P6
486528;CONJUNTO ABERTURA NORMAL.1 FOLHA V.01 T300-6;S/ STOCK
486532;FECHO DE JANELAS 1 FOLHA A.NORMAL;S/ STOCK
486533;CONJUNTO ABERTURA NORMAL.1 FOLHA V.01 T300-6;S/ STOCK
486535;CONJUNTO ANGULOS;
486537;COMPASSO DE CANAL ALU T300;A2 CX1
486820;COMPASSO LIMITADOR DE ABERTURA COM FIXAÇAO;
486821;BRAÇO P/ COMPASSO LIMITADOR DE ABERTURA COM FIXAÇAO;
487231;CREM.PRAC.C.F.AG15 NT 501/600 2P TPLUS;
487261;MANETE INLINE SLIDING EXT A1 43MM - BRUTO;
487264;ADAPTADOR P/ ANG.PEQUENO 13MM NT;
487489;CREMONA TESTA-A-BROCA 25MM. ALU;
487490;CREMONA TESTA-A-BROCA 30MM. ALU;F1P5
487491;CREMONA TESTA-A-BROCA 22MM. ALU;F3P5
487493;CREMONA TESTA-A-BROCA 30MM. ALU;F4P4
487657;MANETE ROTOLINE SECUSTIK 37MM - BRANCO;DS5P3
487658;MANETE ROTOLINE SECUSTIK 37MM - TITAN;DS9P2
488226;CONJ.GUIAS ARO-FOLHA 630-930 PRETO 150 S/Z;ES2P8
488227;CONJ.GUIAS ARO-FOLHA 931-1080 PRETO 150 S/Z;
488228;CONJ.GUIAS  ARO-FOLHA 1081-1280 PRETO 150 S/Z;
488229;CONJ.GUIAS ARO-FOLHA 1281-1480 PRETO 150 S/Z;
488230;CONJ.GUIAS ARO-FOLHA 1481-1680 PRETO 150 S/Z;E2P8
488231;CONJ.GUIAS ARO-FOLHA 1681-1880 PRETO 150 S/Z;E2P8
488269;ELEM.FECHO BASC.INF.ARO V0.1/V0.2 ALU T300;
488297;CONJ.DOB. OB 9.5MM PRATA;
488298;CONJ.DOB. OB 9.5MM PRETO;
488299;CONJ. DOB. OB 9.5MM BRANCO;
488300;CONJ. DOB. OB 9.5MM BRUTO;
488301;CONJº DOB. OB 9,5MM COR ESPECIAL T300;
488302;DOBRADIÇA INFERIOR ARO  9.5 PRATA  T300;
488303;DOBRADIÇA INFERIOR ARO  9.5 PRETO  T300;
488309;PACK BIS.PS27 SEGURIDAD SKG  NEGRO;
488310;PACK BIS PS27 SEGURIDAD SKG  BLANCO;
48942G;INTERRUPTOR SOBREPOSTO;
489865;MANETE EMBUTIDA PATIO LIFE BRANCO;
489867;MANETE EMBUTIDA PATIO LIFE PRATA;
489993;PROLONGADOR S/ ELEMENTO FECHO 330 NT;BS5P1
490128;BASE DO ARO P/ LIMITADOR DE ABERTURA NT ALUPLAST 4/5/6/8000;
490134;PONTEIRA TERMINAL  67 T300;
490162;CREMONE T300 2 GARFOS PRETA;PAL 1
490163;CREMONE T300 2 GARFOS BRANCA;S/ STOCK
490171;COMPASSO 700 MM ALU T300-10;F1P2
490172;COMPASSO 390 MM ALU T300-10;F1P2
490173;TRANSMISSAO ANGULO  T300-6;A2 CX4
490174;TRANSMISSAO ANGULO  C/ F.M.  T300-6;
490175;TRANSMISSAO ANGULO  T300-6;
490176;TRANSMISSAO ANGULO  T300-6;
490178;PONTEIRA BASCULAÇAO T300-6;
490182;PONTO FECHO ARO FIXO VAR.01 T300;DS3P3
490183;PONTO FECHO ARO FIXO VAR.02 T300;
490186;PONTEIRA TERMINAL 33 T300;
490197;TOPO DOBRADIÇA E5-A NT RAL 7004;
490198;TOPO DOBRADIÇA E5-A NT BRANCO;
490240;GARFO P/MANETE ALU 19/9.5;
490437;GUIA LARGA 6 MTS PATIO 6080 CASTANHA;
490438;GUIA LARGA 4 MTS PATIO 6080 CASTANHA;
490439;GUIA LARGA 3 MTS PATIO 6080 CASTANHA;
490440;GUIA ESTREITA 6 MTS PATIO 6080 CASTANHA;
490441;GUIA ESTREITA 4 MTS PATIO 6080 CASTANHA;
490442;GUIA ESTREITA 3 MTS PATIO 6080 CASTANHA;
490443;CONJ.3 DOB. FOLHA 50 MM BASE CAST.  PATIO 6080;CS14P1
490444;CONJ.3 DOB. FOLHA 40MM CAST.  PATIO 6080;CS14P1
490455;CONJ.3 DOB.ARO 21 MM CAST.  PATIO 6080;DS5P4
490456;CONJ.3 DOB.ARO 16MM CAST. PATIO 6080;DS5P4
490457;CONJ.3 DOB. ARO 30MM CAST. PATIO 6080;
490458;CONJ.3 DOBRAD. FOLHA 20MM CAST. PATIO 6080;
490459;SUPORTE CARRO CASTANHO (PAR) PARA PORTA FOLE PATIO 6080;
490460;CONJ.3 SUPL.2MM DOB.ARO CAST.PATIO 6080;
490461;CONJ.3 SUPL.1MM DOB.ARO CAST.PATIO 6080;CX7
490462;MANETE ROTOLINE REBAIXADA 35MM CASTANHA;CS14P4
490463;MANETE REBAIXADA  7/37 MM CASTANHA;
490499;CERRADERO C/BRIDAS DUO K017A SIL;
490500;CERRADERO C/TORN. DUO K017B SIL;
490501;BITOLA P/ELEM.FECHO CORRER - MULTIPONTO13;
490535;CONEXAO DE CREMONA CLIPADA T300;CX 4
490536;JOGO CONEXAO CREMONE T-300;A2.C.3.4
490538;CONJUNTO FECHOS 1 FOLHA V.01 T300-6;
490545;MANETE ROTOLINE 24MM BRANCA;DS5P4
490546;MANETE ROTOLINE 32MM PRETA;DS10P2
490550;CHAPA TESTAS  PROFIALIS REPONSE ESQ;
490551;CHAPA TESTAS  PROFIALIS REPONSE DTº;
490555;PONTEIRA ABERTURA NORMAL / 2ª FOLHA  T300;S/ STOCK
490556;ENGATE PARA PONTEIRA T300;A3.OB1
490559;MANETE ROTOLINE 55MM BRANCA;CS9P4
490887;BARRA UNIAO HORIZONTAL ELEVADORA 720-1500 MM;
490941;ELEM.FECHO BASC.INF.SOLEIRA 13 MM;
490996;CAPA PRETA PARA GUIA LARGA 3 MTS PATIO FOLD;
490998;CAPA PARA GUIA LARGA 6 MTS PATIO 6080 PRETO;
491001;CAPA PARA GUIA ESTREITA 6 MTS PATIO FOLD PRETO;
491003;ACESSORIO. GUIA LARGA CAST. PATIO 6080;
491048;TAMPAS LATERAIS GUIA ESTREITA CAST.  PATIO 6080;
491058;ELEMENTO FECHO BASCULAÇAO  NR347 DTº.;
491059;ELEMENTO FECHO BASCULAÇAO  NR347 ESQ;
491060;ELEMENTO FECHO ARO NR347;
491062;ELEMENTO FECHO PASSADOR NR347 NT;
491063;CLICK ARO NR347 NT;
491064;SUPLEMENTO PLASTICO Nº347 NT;CACIFO P3
491105;DOB.INTERMEDIA OCULTA DESIGNO ARO NT;ES10P8
491223;DOBRADIÇA ARO PARA PORTADA (96-155/76-105) BRANCA ESQ;
491237;DOBRADIÇA ARO PARA PORTADA (156-215/106-135) PRETA ESQ;
491238;DOBRADIÇA ARO PARA PORTADA (156-215/106-135) PRETA DTª;
491243;DOBRADIÇA ARO PARA PORTADA (96-155/76-105) PRETA ESQ;
491244;DOBRADIÇA ARO PARA PORTADA (96-155/76-105) PRETA DTª;
491246;DOBRADIÇA ARO PARA PORTADA (37-95/46-75) BRANCO;CS16P4
491247;DOBRADIÇA ARO PARA PORTADA (96-155/76-105) BRANCO;CS16P4
491248;DOBRADIÇA ARO PARA PORTADA (156-215/106-135) BRANCA;
491253;DOBRADIÇA ARO PARA PORTADA (5-35/25-45) PRETA;
491254;DOBRADIÇA ARO PARA PORTADA (37-95/46-75) PRETA;CS7P4
491255;DOBRADIÇA ARO PARA PORTADA (96-155/76-105) PRETA;
491256;DOBRADIÇA ARO PARA PORTADA (156-215/106-135) PRETA;
491327;CAPA PARA FALSO COMPASSO BRONZE;
491328;CAPA PARA FALSO COMPASSO PRATA;CS14P3
491335;CREMONE 1 G BRANCO;
491406;CREMONA VERTICAL ELEVADORA 1200-1800 MM;
491407;CREMONA VERTICAL ELEVADORA 1200-1800 MM;
491408;CREMONA VERTICAL ELEVADORA 1801-2100 MM;ES5P8
491409;CREMONA VERTICAL ELEVADORA 1801-2100 MM;
491410;CREMONA VERTICAL ELEVADORA 2101- 2400 MM;ES5P8
491411;CREMONA VERTICAL ELEVADORA 2101-2400 MM;ES5P8
491412;CREMONA VERTICAL ELEVADORA 2401-2700 MM;ES5P8
491413;CREMONA VERTICAL ELEVADORA 2401-2700;
491414;CONJUNTO CARROS  ELEVADORA HAUTAU - 300 KG;
491415;BARRA UNIAO HORIZONTAL ELEVADORA 720-1500MM;PAREDE
491416;BARRA UNIAO HORIZONTAL ELEVADORA 1501-2000 MM;PAREDE
491417;BARRA UNIAO HORIZONTAL ELEVADORA 2001-2500 MM;PAREDE
491418;BARRA UNIAO HORIZONTAL ELEVADORA 2501-3235 MM;PAREDE
491421;ELEMENTO FECHO ELEVADORA;CX6
491426;CONJ. MANETE ELEVADORA BRANCO;CX5
491427;CONJ. MANETE ELEVADORA PRATA;
491428;CONJ. MANETE DUPLA  P/CORR.ELEV. BRANCO;
491429;CONJ. MANETE DUPLA  P/CORR.ELEV. PRATA;
491441;CONJ. ACC. ELEVADORA ESQUEMA A VEKA TOPLINE;
491442;CONJ. ACC. ELEVADORA ESQUEMA A - KOMMERLING;CX6
491445;GUIA SOLEIRA PARA ELEVADORA 4500 MM;
491446;GUIA SOLEIRA PARA ELEVADORA 5500 MM;
491447;GUIA SOLEIRA PARA ELEVADORA 6500 MM;ES6P8
491467;CNJTº. ACC. ELEVADORA ESQUEMA A REHAU;CX6
491468;CNJTº. ACC. ELEVADORA ESQUEMA C REHAU;
491469;CNJTº. ACC. ELEVADORA ESQUEMA C VEKA;
491471;ACESSORIOS THERMO TOP ESQ.C ELEV.REHAU;
491473;CONJTº.ACC.ESQ.D ELEVADORA KOMMERLING CAST.;
491474;ESQUEMA C - PROFINE;
491665;CONJ. 6 CALÇOS S005 ALT.2MM;CX21
491666;ELEM. FECHO CORRER  EXALCO ALBIO 225;
491667;CREMONA CORRER 22/16 X 600 GANCHO 14;
491668;CREMONA CORRER 22/16 X 1800 GANCHO 14;
491795;PEÇA  ANTI LEVANTAMENTO P/PORTA ENTRADA;
491797;TOPO P/ COMPASSO LIMITADOR DE ABERTURA COM FIXAÇAO;A2 CX13
491798;LIMITADOR ABERTURA ARO DESIGNO NT MADEIRA LARG.>1050;D6P5
491805;KIT COMPLETO DE APRESENTAÇÃO T300;
491818;CAPA DOBRADIÇA INFERIOR FOLHA CHAMPANHE ESQ.;DS5P5
491819;CAPA DOBRADIÇA INFERIOR FOLHA CHAMPANHE DTª;DS5P5
491820;CAPA DOBRADIÇA INFERIOR FOLHA DOURADA ESQ.;CX7
491821;CAPA DOBRADIÇA INFERIOR FOLHA DOURADA DTª;CX7
491822;CAPA DOBRADIÇA INFERIOR FOLHA CASTANHA ESQ;
491823;CAPA DOBRADIÇA INFERIOR FOLHA CASTANHA DTª;
491824;CAPA DOBRADIÇA INFERIOR FOLHA BRONZE ESQ;CS5P4
491845;CAPA DOBRADIÇA INFERIOR FOLHA BRONZE DTª;A2 CX12
491846;CAPA DOBRADIÇA INFERIOR FOLHA BRONZE ESQ;
491847;CAPA DOBRADIÇA INFERIOR FOLHA BRONZE DTª;
491848;CAPA DOBRADIÇA INFERIOR FOLHA PRETA ESQ.;PAL 1
491849;CAPA DOBRADIÇA INFERIOR FOLHA PRETA DTª;CX8
491850;CAPA DOBRADIÇA INF.ARO A CHAMPANHE ESQ.;DS5P5
491851;CAPA DOBRADIÇA INF.ARO A CHAMPANHE DTº.;DS5P5
491852;CAPA DOBRADIÇA INF.ARO A DOURADA ESQ.;
491853;CAPA DOBRADIÇA INF.ARO A DOURADA DTª;
491854;CAPA DOBRADIÇA INF.ARO A DOURADA ESQ;A2.B. 4.3
491855;CAPA DOBRADIÇA INF.ARO A DOURADA DTª;A2.B. 4.3
491858;CAPA DOBRADIÇA INF.ARO A CASTANHA ESQ;
491859;CAPA DOBRADIÇA INF.ARO A CASTANHA DTª;
49185G;PLACA DE MONTAGEM TS5000;
492001;FECHADURA C/50 C/SERRILHA 1750-2800 35/92;
492002;FECHADURA C/50 C/SERRILHA 1750-2800 45/92;
492004;FECHADURA C/50 C/SERRILHA 1750-2800 55/92;
492093;PEÇA DE LIGAÇAO P/FECHADURA C/SERRILHA;CX5
492094;CREMONA 2ª FOLHA P/FECHADURA 2165/2X16/4V/1825;BS11P2
492101;FECHADURA C/SERRILHA 55/92/8 H50 - 16/2 1750-2800;
492130;CIERRE EMBUTIR DUO BLANCO C19;
492131;CIERRE EMBUTIR DUO PLATA C19;
492135;PEÇA DE LIGAÇAO P/CREMONA 2ª FOLHA;BS11P1
492136;PASSADOR DE PORTA C/PONTO DE FECHO 305;
492148;MANETE ROTOLINE 40MM PRETA;DS10P2
492151;MANETE ROTOLINE 2 CARAS PRETO MATE;CS16P2
492242;DOB. SUP. DE CANAL 1/2 PTO 12/20/9 ALU-NT DIR;
492345;CAPA PARA DOBRADIÇA INFERIOR FOLHA PRETA;CS13P3
492346;CAPA PARA DOBRADIÇA INFERIOR ARO PRETA;CS13P3
492347;CAPA PARA DOBRADIÇA INFERIOR ARO PRETA;CS13P3
492348;CAPA PARA COMPASSO PRETA;CS13P3
492349;CAPA PARA SUPORTE DE COMPASSO PRETA;CS13P3
492519;DOB.PORTA PS23 14-17.5/85-31 CAST.;CXA1
492520;DOB.PORTA PS23 14-17.5/85-31 BRANCA;
492521;DOB.PORTA PS23 14-17.5/85-34 CAST.;CXA1
492522;DOB.PORTA PS23 14-17,5/85-34 BRANCA;
492556;DOB.PORTA PS23 17-20,5/85-31 CAST.;
492558;DOB.PORTA PS23 17-20,5/85-31 BRANCO;
492559;DOB.PORTA PS23 17-20,5/85-31 BRANCO;
492560;DOB.PORTA PS23 17-20,5/85-31 PRATA;A3.OB1
492561;DOB.PORTA PS23 17-20,5/85-31 PRATA;
492563;DOB.PORTA PS23 17-20,5/85-34 CAST.;
492564;DOB.PORTA PS23 17-20,5/85-34 BRANCO;
492565;DOB.PORTA PS23 20-23,5/85-31 BRONZE;
492567;DOB.PORTA PS23 20-23,5/85-31 CASTANHO;
492568;DOB.PORTA PS23 20-23,5/85-31 BRANCO;
492574;DOB.PORTA PS27 14-17,5/105-39 CAST;OB PAL 4
492575;DOB.PORTA PS27 14-17,5/105-39 BRANCO;OB PAL 4
492578;DOB.PORTA PS27 14-17,5/105-42 CAST;
492579;DOB.PORTA PS27 14-17,5/105-42 BRANCA;
492580;DOB.PORTA PS 27 14-17.5/105.42 PRATA;
492582;DOB.PORTA PS27 17-20,5/105.39 CAST.;
492584;DOB.PORTA PS27 17-20,5/105.39 BRANCA;
492586;DOB.PORTA PS27 17-20,5/105-42 BRONZE;
492588;DOB.PORTA PS27 14-17,5/105-42 CAST.;
492589;DOB.PORTA PS27 17-20,5/105-42 BRANCA;
